review_index,aspect,aspect_sentiment
0,price,positive
1,price,positive
2,quality,positive
3,price,positive
4,quality,positive
5,price,positive
6,quality,positive
7,quality,positive
8,battery,positive
9,packaging,positive
10,price,positive
11,price,positive
12,price,positive
13,price,positive
14,price,positive
15,battery,positive
16,price,positive
17,price,neutral
17,battery,neutral
18,price,positive
19,quality,positive
20,price,positive
20,performance,positive
21,price,positive
22,price,positive
23,price,positive
24,price,positive
24,quality,positive
25,price,positive
26,price,neutral
27,price,positive
27,battery,positive
28,price,positive
29,price,positive
30,price,positive
31,quality,positive
32,battery,positive
33,price,neutral
34,price,neutral
34,battery,neutral
35,price,positive
36,price,positive
37,price,positive
38,price,positive
39,price,positive
40,price,positive
41,price,positive
42,price,positive
43,price,positive
44,price,positive
45,price,neutral
46,price,neutral
47,battery,neutral
48,price,neutral
49,quality,positive
50,price,positive
51,price,positive
51,quality,positive
52,price,positive
52,battery,positive
52,performance,positive
53,battery,positive
54,price,negative
55,price,positive
56,price,positive
56,quality,positive
57,price,positive
58,battery,positive
59,battery,positive
60,price,positive
61,price,positive
62,price,positive
63,price,positive
64,price,positive
64,design,positive
64,performance,positive
65,battery,positive
65,design,positive
66,price,positive
67,price,positive
68,price,positive
69,price,positive
70,quality,positive
71,price,positive
72,battery,neutral
73,price,positive
74,price,positive
75,price,positive
75,performance,positive
76,battery,positive
77,price,neutral
78,price,positive
79,price,positive
79,quality,positive
79,battery,positive
80,battery,positive
81,quality,positive
82,battery,positive
83,performance,positive
84,support,neutral
85,price,positive
85,performance,positive
86,price,positive
87,price,positive
88,quality,positive
89,quality,positive
90,price,positive
91,price,positive
92,price,positive
93,price,neutral
94,price,positive
95,battery,positive
96,price,positive
97,battery,positive
98,price,positive
99,price,positive
100,battery,positive
101,price,positive
102,price,positive
103,price,positive
104,price,positive
105,price,positive
106,price,positive
107,price,positive
108,price,neutral
109,battery,positive
110,quality,positive
111,quality,positive
112,price,positive
112,performance,positive
113,price,positive
114,price,positive
115,price,positive
116,price,positive
117,price,positive
118,price,positive
119,battery,positive
120,price,negative
120,performance,negative
121,price,positive
122,quality,positive
123,quality,positive
124,price,positive
124,quality,positive
125,price,positive
126,battery,positive
127,battery,positive
128,battery,positive
129,quality,positive
130,price,positive
131,price,positive
132,price,positive
133,battery,positive
134,price,positive
135,price,neutral
135,quality,neutral
136,price,positive
137,price,positive
138,price,positive
139,performance,positive
140,quality,positive
141,quality,positive
142,quality,positive
143,price,positive
143,battery,positive
144,quality,positive
145,price,positive
146,price,positive
147,price,positive
148,price,positive
148,battery,positive
149,price,positive
150,quality,positive
151,price,positive
151,quality,positive
152,price,positive
153,price,neutral
154,price,positive
155,price,positive
156,price,positive
157,performance,positive
158,battery,positive
159,price,neutral
160,price,positive
161,quality,positive
162,price,positive
163,performance,positive
164,price,positive
165,quality,positive
166,price,positive
167,price,positive
168,battery,positive
169,price,positive
170,price,positive
171,price,positive
172,price,positive
173,price,positive
174,price,positive
175,performance,negative
176,price,positive
177,quality,positive
177,battery,positive
178,price,positive
179,price,positive
180,price,positive
181,price,positive
182,price,positive
182,quality,positive
183,battery,positive
184,price,positive
185,price,positive
185,quality,positive
186,price,positive
187,quality,negative
187,support,negative
188,price,neutral
189,price,neutral
190,price,positive
191,price,neutral
192,battery,positive
193,price,positive
194,price,positive
195,price,positive
196,price,positive
197,price,positive
198,price,positive
199,price,neutral
200,price,positive
201,price,neutral
201,battery,neutral
202,quality,positive
203,price,neutral
204,price,positive
205,price,positive
206,price,positive
207,price,neutral
207,performance,neutral
