reviews.text,reviews.rating,sentiment,clean_text,aspects_found
"I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.",5,positive,bought grand daughter come visit set user entered age name amazon make sure access site content appropriate age simple love capability also bought installed gig sd card give little tablet plenty storage price think tablet best one spend hundred dollar additional speed capacity come basic tablet everything people ever need fraction cost,['price']
"Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.",4,positive,great ereading go nice light weight price point given definitely worth purchase,['price']
Great video quality lots of fun apps fun for the whole family,5,positive,great video quality lot fun apps fun whole family,['quality']
I purchased this when my last tablet died. It meets all basic needs and the price was great.,4,positive,purchased last tablet died meet basic need price great,['price']
"The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable.",5,positive,visual quality fire hd amazing run fast easy use durable,['quality']
"This is a great tablet for the price, would recommend it to anyone looking for a basic tablet.",5,positive,great tablet price would recommend anyone looking basic tablet,['price']
"My children love this table great quality of pictures, excellent camera",5,positive,child love table great quality picture excellent camera,['quality']
"For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet.",5,positive,money cannot beat tablet full feature picture quality great fast speed using internet,['quality']
This fire tablet has long battery life. Reasonable fast,4,positive,fire tablet long battery life reasonable fast,['battery']
Sleek packaging easy set up and great for anyone who wants a e reader with more to offer.,5,positive,sleek packaging easy set great anyone want e reader offer,['packaging']
"Excellent tablet to leave at my easel and display reference photos. It's light enough to velcro to a articulating stand (so I can position the tablet right next to my canvas). It's cheap enough to not worry about. I love it, for the price.",5,positive,excellent tablet leave easel display reference photo light enough velcro articulating stand position tablet right next canvas cheap enough worry love price,['price']
"this is a great tablet for the price. my kid loves it ,does alot reading on it.",5,positive,great tablet price kid love alot reading,['price']
Great tablet for the price. It is easy to navigate.,5,positive,great tablet price easy navigate,['price']
Really enjoyed the price value of this tablet versus ipad,5,positive,really enjoyed price value tablet versus ipad,['price']
We got this for our 5 year old and this is really great for the price. Works like a charm!!,5,positive,got year old really great price work like charm,['price']
"I love this tablet. The battery life last a long time. I use my Amazon Kindle Fire predominately for watching movies on Amazon Prime, Netflix's, and checking my emails. I also carry it to my appointments and meetings. It is a compact tablet, and not big and bulky. The playback of the movies are great, and the movies are HD. Great little tablet if you are looking for something to watch movies and checking emails. I would definitely recommend this tablet to friends and family members.",5,positive,love tablet battery life last long time use amazon kindle fire predominately watching movie amazon prime netflixs checking email also carry appointment meeting compact tablet big bulky playback movie great movie hd great little tablet looking something watch movie checking email would definitely recommend tablet friend family member,['battery']
"Thanks to a knowledgeable, low-pressure salesperson, I was ready to buy my first tablet. This one was the right price (on sale) and I have not been disappointed. Every few days I learn more ways to use it besides checking e-mails & checking out library books & audio books. It stays charged for days, even with regular use. I recommend it as an inexpensive and very satisfactory alternative to more expensive tablets.",5,positive,thanks knowledgeable lowpressure salesperson ready buy first tablet one right price sale disappointed every day learn way use besides checking email checking library book audio book stay charged day even regular use recommend inexpensive satisfactory alternative expensive tablet,['price']
"It's a great tablet for the price. Don't expect it to be as fast more expensive ones. It's meant for casual use and it does a great job at that. For the price, you can't beat it. Get a nice large microsd card and you don't have to worry about space. It runs a little slow on certain things if you are multitasking but it's a simple tablet. I've run plenty of 720p videos without fail. It's great for ebooks or other files. Some more elaborate pdfs take a while to load if they have a lol of graphics. Battery life seems good for a small table too.The only real Issue I have is the Amazon App store being limited. It is an offshoot of Android but not all the same apps are available. There is a way around it but I wish they would just allow it access to Google Play or at least offer the same apps.So, it's a nice inexpensive table that works great. For the money, you will love it but don't get upset that is doesn't run as fast as a $500 tablet. That's not its job.",5,positive,great tablet price dont expect fast expensive one meant casual use great job price cant beat get nice large microsd card dont worry space run little slow certain thing multitasking simple tablet ive run plenty p video without fail great ebooks file elaborate pdfs take load lol graphic battery life seems good small table toothe real issue amazon app store limited offshoot android apps available way around wish would allow access google play least offer appsso nice inexpensive table work great money love dont get upset doesnt run fast tablet thats job,"['price', 'battery']"
"I purchased two of these for my kids, ages 12 and 10. Forget the IPod touch. For the price, this tablet can't be beat! They can download games, books and movies for free all included with my Amazon Prime membership. Awesome!!",5,positive,purchased two kid age forget ipod touch price tablet cant beat download game book movie free included amazon prime membership awesome,['price']
my kids enjoy the Fire HD and they love the picture quality,5,positive,kid enjoy fire hd love picture quality,['quality']
"The latest Amazon 8"" HD tablet is a very good tablet for the price. The updated processor and extra memory (with expansion slot) allow for very good performance on all that we use this tablet for. Netflix, Hulu, browsing the internet, and doing e-mails all work very smoothly. Would recommend to anyone looking for a very cost effective tablet",5,positive,latest amazon hd tablet good tablet price updated processor extra memory expansion slot allow good performance use tablet netflix hulu browsing internet email work smoothly would recommend anyone looking cost effective tablet,"['price', 'performance']"
"Amazon Fire HD8 is a great product for the price. I picked it up for $69 during the holiday shopping season. Replacing a 1st gen Samsung Tab 2. This thing is sooo much faster. Perfect size for reading Kindle books , emails, and doing the social media thing.",5,positive,amazon fire hd great product price picked holiday shopping season replacing st gen samsung tab thing sooo much faster perfect size reading kindle book email social medium thing,['price']
It was a good gift for the price and had many features and options,4,positive,good gift price many feature option,['price']
